STATE,City,Area,Year,Month,Day,Pothole_Severity,Typeofvehicle,Causes,No_of_death,No_of_injured,No_of_accident,Accident_Severity
MADHYA PRADESH,Jabalpur,Bellanduru,2019,Mar,30,High,Two wheeler over speed skidding because of over speed,Tempo/Vans (Government),21,34,50,High
MADHYA PRADESH,Indore,Benniganahalli,2019,Mar,23,Low,Car,Tempo/Vans (Private),12,21,30,Low
MADHYA PRADESH,Gwalior,Bharathi Nagar,2019,Mar,22,High,Two wheeler over speed Self accident,Jeep (Government),15,22,30,High
MADHYA PRADESH,Ujjain,BTM Layout,2019,Mar,20,Medium,Car over speed and hit to Two wheeler,Jeep (Private),13,21,20,Medium
MADHYA PRADESH,Ratlam,C V Raman Nagar,2019,Mar,11,Low,Two wheeler over speed Drunk & Drive,Car (Government),10,23,40,Low
MADHYA PRADESH,Sagar,Chickpete,2019,Mar,19,Low,LCV over speed and hit to LCV,Total Truck/Lorry,20,3,5,Low
MADHYA PRADESH,Chhindwara,Devasandra,2019,Mar,18,High,Auto hit to the bike. Bike damaged,Total Bus,5,2,4,High
MADHYA PRADESH,Vidisha,Dharmaraya Swamy Temple,2019,Mar,15,Medium,Vehicle over speed and hit to the another vehicle,Total Tempo/Vans,6,3,5,Medium
MADHYA PRADESH,Satna,Dodda Nekkundi,2019,Mar,14,Medium,car over speed and hit to two wheeler,Total Jeep,7,7,8,Medium
MADHYA PRADESH,Dewas,Domlur,2019,Mar,12,Low,Lorry over taking and Hit to the Car in Junction,Truck/Lorry (Government),9,23,25,Low
MADHYA PRADESH,Burhanpur,Garudachar Playa,2019,Mar,18,Medium,Self accident Two wheeler over speed,Bus (Government),1,12,30,Medium
MADHYA PRADESH,Bhopal,Gurappanapalya,2019,Mar,17,Low,Car hit to the other car because of over speed on the carriageway and vehicle out of control,Tempo/Vans (Government),12,20,31,Low
MADHYA PRADESH,Jabalpur,Hagadur,2019,Mar,14,Medium,Car over speed,Tempo/Vans (Private),5,1,10,Medium
MADHYA PRADESH,Indore,HAL Airport,2019,Mar,9,High,Fault of Two wheeler over speed to crossing road car was hit to two wheeler.,Jeep (Government),6,4,21,High
MADHYA PRADESH,Gwalior,Halsoor,2019,Mar,8,Low,Fault of Two wheeler over speed and hit to parking vehicle of Tractor,Car (Government),3,23,40,Low
MADHYA PRADESH,Ujjain,Hemmigepura,2019,Mar,10,Low,Drunk & Drive Two wheeler,Total Tempo/Vans,5,2,7,Low
MADHYA PRADESH,Ratlam,Horamavu,2019,Mar,20,Low,Fault of Pedestrian across the Road,Truck/Lorry (Government),10,24,23,Low
MADHYA PRADESH,Sagar,Hoysala Nagar,2019,Mar,2,Low,Zen car Hit to I-20 Car vehicle over speed,Bus (Government),12,21,20,Low
MADHYA PRADESH,Chhindwara,HSR Layout,2019,Mar,1,Medium,Car,Bus (Private),15,2,3,Medium
MADHYA PRADESH,Chhindwara,Hudi,2019,Mar,5,Medium,Two wheeler over speed and hit to car,Tempo/Vans (Government),20,22,23,Medium
MAHARASHTRA,Greater Mumbai ,J P Nagar,2019,Mar,6,High,Car over speed and hit to car,Tempo/Vans (Private),2,12,14,High
MAHARASHTRA,Pune,Jaraganahalli,2019,Mar,4,Medium,Car over speed and hit to Two wheeler,Jeep (Government),19,34,40,Medium
MAHARASHTRA,Nagpur,Jayanagar East,2019,Mar,7,High,Two wheeler over speed and hit to car,Jeep (Private),17,21,22,High
MAHARASHTRA,Nashik,Jeevanbhima Nagar,2019,Mar,23,Medium,Two wheeler over speed self accident,Car (Government),16,34,50,Medium
MAHARASHTRA,Thane,Jogupalya,2019,Mar,21,Medium,Two wheeler over speed self accident,Total Bus,2,21,30,Medium
MAHARASHTRA,Aurangabad,K R Puram,2019,Mar,12,High,Bike,Total Tempo/Vans,13,22,30,High
MAHARASHTRA,Solapur,Kacharkanahalli,2019,Mar,31,Low,Bus over speed and hit to Car,Total Jeep,17,21,20,Low
MAHARASHTRA,Amaravati,Kadugodi,2019,Apr,13,Medium,Drunk & Drive,Truck/Lorry (Government),2,23,40,Medium
MAHARASHTRA,Sangli,Kammanahalli,2019,Apr,30,Low,Bus over speed and hit to two wheeler,Jeep (Government),1,3,5,Low
MAHARASHTRA,Bhiwandi-Nizampur,Konena Agrahara,2019,Apr,23,Low,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,Jeep (Private),2,2,4,Low
MAHARASHTRA,Akola,Madivala,2019,Apr,22,Medium,Car overturning the bus over speed,Car (Government),4,3,5,Medium
MAHARASHTRA,Chandrapur,Marathahalli,2019,Apr,20,Low,Car overturning the bus over speed,Three Wheeler,5,7,8,Low
MAHARASHTRA,Miraj,New Tippasandara,2019,Apr,11,Low,Car over speed and hit to road crossing pedestrian and Two wheeler,Bicycle,8,23,25,Low
MAHARASHTRA,Pune,Other,2019,Apr,19,Medium,Car hit to bike,Pedestrian,11,12,30,Medium
MAHARASHTRA,Nagpur,other,2019,Apr,18,Medium,Car over speed self accident,Total Jeep,9,20,31,Medium
MAHARASHTRA,Nashik,Ramamurthy Nagar,2019,Apr,15,High,Self accident LCV defect in mechanical condition,Truck/Lorry (Government),13,1,10,High
MAHARASHTRA,Thane,Sampangiram Nagar,2019,Apr,14,Low,Self accident Two wheeler over speed,Truck/Lorry (Private),20,4,21,Low
MAHARASHTRA,Aurangabad,Sarakki,2019,Apr,12,Medium,Bike raiding and Hit to the opposite Bike,Bus (Government),21,23,40,Medium
MAHARASHTRA,Solapur,Shantala Nagar,2019,Apr,18,Medium,Multiaxle over speed and hit to the Car,Bus (Private),19,2,7,Medium
MAHARASHTRA,Thane,Singasandra,2019,Apr,17,High,Car over speed and hit to car,Tempo/Vans (Government),22,24,23,High
MAHARASHTRA,Miraj,Sudham Nagara,2019,Apr,14,Low,Vehicle over speed and hit to the road Pedestrian,Tempo/Vans (Private),3,21,20,Low
MANIPUR,Bishnupur,Varthuru,2019,Apr,9,High,LCV over speed and hit to Tractor,Jeep (Government),1,2,3,High
MANIPUR,Thoubal,Vasanthpura,2019,Apr,8,Low,Car over speed and hit to Two wheeler,Jeep (Private),10,22,23,Low
MANIPUR,Imphal East ,Vijnana Nagar,2019,Apr,10,Medium,Car over speed and hit to Two wheeler,Car (Government),20,12,14,Medium
MANIPUR,Imphal West ,Vijnanapura,2019,Apr,20,High,Over speed Car and Hit to Lorry,Car (Private),21,34,40,High
MANIPUR,Senapati,Yelchenahalli,2019,Apr,2,Low,Car over speed,Total Truck/Lorry,23,21,22,Low
MANIPUR,Ukhrul,A Narayanapura,2019,Apr,1,High,Car over speed self accident,Total Bus,21,34,50,High
MANIPUR,Chandel,Agaram,2019,Apr,5,High,Bike,Total Tempo/Vans,12,21,30,High
MANIPUR,Churachandpur,Banasavadi,2019,Apr,6,Low,Two wheeler self accident Drunken & Drive,Total Jeep,15,22,30,Low
MANIPUR,Tamenglong,Basavanapura,2019,Apr,4,High,Car over speed and hit to Two wheeler,Total Car,13,21,20,High
MANIPUR,Jiribam,Bellanduru,2019,Apr,7,High,LCV over speed self accident,Truck/Lorry (Government),10,23,40,High
MANIPUR,Kangpokpi,Benniganahalli,2019,Apr,23,Low,Car over speed and hit to the car,Truck/Lorry (Private),20,3,5,Low
MANIPUR,Kamjong,Bharathi Nagar,2019,Apr,21,High,Road crossing pedestrian cross the road vehicle hit and run,Bus (Government),5,2,4,High
MANIPUR,Bishnupur,BTM Layout,2019,Apr,12,Medium,Bike Drunk & Drive,Bus (Private),6,3,5,Medium
MANIPUR,Thoubal,C V Raman Nagar,2019,Apr,31,Low,Car over speed self accident,Tempo/Vans (Government),7,7,8,Low
MANIPUR,Imphal East ,Chickpete,2019,Apr,13,Low,Auto hit to the Two wheeler,Tempo/Vans (Private),9,23,25,Low
MANIPUR,Imphal West ,Devasandra,2019,Apr,30,High,Car over speed and Hit to the lorry,Jeep (Government),1,12,30,High
MANIPUR,Senapati,Dharmaraya Swamy Temple,2019,Apr,23,Medium,Truck,Jeep (Private),12,20,31,Medium
MANIPUR,Ukhrul,Dodda Nekkundi,2019,Apr,22,Medium,Pedestrian,Car (Private),5,1,10,Medium
MANIPUR,Chandel,Domlur,2019,Apr,20,Low,Over Speed of Car,Three Wheeler,6,4,21,Low
MANIPUR,Churachandpur,Garudachar Playa,2019,May,11,Medium,Unknown vehicle over speed and hit to two wheeler,Others (Please Specify),3,23,40,Medium
MANIPUR,Tamenglong,Gurappanapalya,2019,May,19,Low,Bike over speed and hit to opposite bike,Total Truck/Lorry,5,2,7,Low
MEGHALAYA,Shillong,Hagadur,2019,May,18,Medium,Fault of car vehicle over speed and hit to bike,Total Bus,10,24,23,Medium
MEGHALAYA,Shillong Cantonment,HAL Airport,2019,May,15,High,Fault of Multi axle over speed and hit to bike,Total Tempo/Vans,12,21,20,High
MEGHALAYA,Tura,Halsoor,2019,May,14,Low,car over speed and hit to two wheeler,Total Jeep,15,2,3,Low
MEGHALAYA,Umlyngka,Hemmigepura,2019,May,12,Low,Car over speed and hit to Two wheeler,Truck/Lorry (Government),20,22,23,Low
MEGHALAYA,Nongkseh,Horamavu,2019,May,18,Low,Car over speed self accident,Truck/Lorry (Private),2,12,14,Low
MEGHALAYA,Nongpoh,Hoysala Nagar,2019,May,17,Low,Fault of road crossing pedestrian. Vehicle over speed and hit to pedestrian,Bus (Government),19,34,40,Low
MEGHALAYA,Shillong,HSR Layout,2019,May,14,Medium,LCV hit to Truck,Bus (Private),17,21,22,Medium
MEGHALAYA,Shillong Cantonment,Hudi,2019,May,9,Medium,Car over speed self accident,Tempo/Vans (Government),16,34,50,Medium
MEGHALAYA,Tura,J P Nagar,2019,May,8,High,Car over speed vehicle out of control Self accident,Tempo/Vans (Private),2,21,30,High
MEGHALAYA,Umlyngka,Jaraganahalli,2019,May,10,Medium,Bus over speed and hit to two wheeler,Jeep (Private),13,22,30,Medium
MEGHALAYA,Nongkseh,Jayanagar East,2019,May,20,High,Bus over speed and Hit to Road crossing Pedestrian,Car (Government),17,21,20,High
MEGHALAYA,Nongpoh,Jeevanbhima Nagar,2019,May,2,Medium,Fault of Car over speed and hit to LCV,Car (Private),2,23,40,Medium
MEGHALAYA,Shillong,Jogupalya,2019,May,1,Medium,Car over speed and hit to run the Pedestrian,Others (Please Specify),1,3,5,Medium
MEGHALAYA,Shillong Cantonment,K R Puram,2019,May,5,High,LCV vehicle over speed out of controll,Total Truck/Lorry,2,2,4,High
MEGHALAYA,Tura,Kacharkanahalli,2019,May,6,Low,Car over speed driver drunk and drive self accident,Total Bus,4,3,5,Low
MEGHALAYA,Umlyngka,Kadugodi,2019,May,4,Medium,Two wheeler over speed and hit to two wheeler,Total Tempo/Vans,5,7,8,Medium
MEGHALAYA,Nongkseh,Kammanahalli,2019,May,7,Low,Car over speed hit to Car,Total Car,8,23,25,Low
MEGHALAYA,Nongpoh,Konena Agrahara,2019,May,23,Low,Car over speed and hit to Two wheeler,Truck/Lorry (Government),11,12,30,Low
MEGHALAYA,Shillong Cantonment,Madivala,2019,May,21,Medium,Bus over speed and hit to car,Bus (Government),9,20,31,Medium
MEGHALAYA,Tura,Marathahalli,2019,May,12,Low,Car,Bus (Private),13,1,10,Low
MEGHALAYA,Umlyngka,New Tippasandara,2019,May,31,Low,car over speed and hit to two wheeler,Tempo/Vans (Government),20,4,21,Low
MIZORAM,Aizawl,Other,2019,May,13,Medium,Two wheeler over speed Self accident,Jeep (Government),21,23,40,Medium
MIZORAM,Bairabi,other,2019,May,30,Medium,car over speed hit to road crossing Pedestrian,Jeep (Private),19,2,7,Medium
MIZORAM,Biate,Ramamurthy Nagar,2019,May,23,High,LCV HIt to Car over speed,Car (Government),22,24,23,High
MIZORAM,Champhai,Sampangiram Nagar,2019,May,22,Low,Vehicle over speed and Hit to Road cross pedestrian,Bicycle,3,21,20,Low
MIZORAM,Lawngtlai,Sarakki,2019,May,20,Medium,Two wheeler over speed and hit to Agriculture vehicle.,Total Bus,1,2,3,Medium
MIZORAM,Lengpui,Shantala Nagar,2019,May,11,Medium,LCV self accident Over speed and Vehicle out of control,Total Jeep,10,22,23,Medium
MIZORAM,Kolasib,Singasandra,2019,May,19,High,Two wheeler over speed and Hit to Two wheeler,Truck/Lorry (Government),20,12,14,High
MIZORAM,Khawhai,Sudham Nagara,2019,May,18,Low,Fault of Road crossing pedestrian,Bus (Government),21,34,40,Low
MIZORAM,Darlawn,Varthuru,2019,May,15,High,Truck over speed and Hit to the Two wheeler,Bus (Private),23,21,22,High
MIZORAM,Mamit,Vasanthpura,2019,May,14,Low,Drunk & Drive,Tempo/Vans (Government),21,34,50,Low
MIZORAM,Saiha,Vijnana Nagar,2019,May,12,Medium,Car over speed and hit to Two wheeler,Jeep (Government),12,21,30,Medium
MIZORAM,Sairang,Vijnanapura,2019,May,18,High,Bike over speed and Hit to LCV,Jeep (Private),15,22,30,High
MIZORAM,Saitual,Yelchenahalli,2019,May,17,Low,Car over speed and hit to Two wheeler,Car (Government),13,21,20,Low
MIZORAM,Serchhip,A Narayanapura,2019,May,14,High,car over speed and hit to two wheeler,Three Wheeler,10,23,40,High
MIZORAM,Thenzawl,Agaram,2019,May,9,High,Car over speed and hit to road crossing Pedestrian,Bicycle,20,3,5,High
MIZORAM,Tlabung,Banasavadi,2019,May,8,Low,Truck over speed and hit to car,Total Bus,5,2,4,Low
MIZORAM,Vairengte,Basavanapura,2019,May,10,High,Car,Total Jeep,6,3,5,High
MIZORAM,Zawlnuam,Bellanduru,2019,May,20,High,Jeep over speed and hit to two wheeler,Truck/Lorry (Government),7,7,8,High
MIZORAM,Hnahthial,Benniganahalli,2019,June,2,Low,Bike,Truck/Lorry (Private),9,23,25,Low
MIZORAM,Bairabi,Bharathi Nagar,2019,June,1,High,Bike,Bus (Government),1,12,30,High
MIZORAM,Lawngtlai,BTM Layout,2019,June,5,Medium,Two wheeler over speed Self accident,Tempo/Vans (Government),12,20,31,Medium
NAGALAND,Kohima,C V Raman Nagar,2019,June,6,Low,Bike over speed fault of Motor vehicle,Tempo/Vans (Private),5,1,10,Low
NAGALAND,Kuda,Chickpete,2019,June,4,Low,Truck over speed and hit to LCV. Driver sleep,Jeep (Government),6,4,21,Low
NAGALAND,Longleng,Devasandra,2019,June,7,High,car over speed and hit to two wheeler,Jeep (Private),3,23,40,High
NAGALAND,Medziphema,Dharmaraya Swamy Temple,2019,June,23,Medium,Vehicle over speed and hit to Road Pedestrian. Fault of Pedestrian,Car (Government),5,2,7,Medium
NAGALAND,Peren,Dodda Nekkundi,2019,June,21,Medium,Multi axle hit to LCV,Car (Private),10,24,23,Medium
NAGALAND,Kiphire,Domlur,2019,June,12,Low,Car over speed vehicle out of control Self accident,Total Truck/Lorry,12,21,20,Low
NAGALAND,Kuda,Garudachar Playa,2019,June,31,Medium,Self accident Two wheeler,Total Tempo/Vans,15,2,3,Medium
NAGALAND,Longleng,Gurappanapalya,2019,June,13,Low,Two wheeler over speed and overturning to bus bike was skidding,Total Jeep,20,22,23,Low
NAGALAND,Kohima,Hagadur,2019,June,30,Medium,Car tyer blast vehicle out of control,Total Car,2,12,14,Medium
NAGALAND,Kuda,HAL Airport,2019,June,23,High,car over speed and hit to two wheeler,Truck/Lorry (Government),19,34,40,High
NAGALAND,Longleng,Halsoor,2019,June,22,Low,Drunk & Drive Two wheeler,Truck/Lorry (Private),17,21,22,Low
NAGALAND,Medziphema,Hemmigepura,2019,June,20,Low,Truck over speed and hit to Two wheeler,Bus (Government),16,34,50,Low
NAGALAND,Peren,Horamavu,2019,June,11,Low,Car hit to road crossing pedestrian,Tempo/Vans (Government),2,21,30,Low
NAGALAND,Kiphire,Hoysala Nagar,2019,June,19,Low,Multi axle hit to car,Tempo/Vans (Private),13,22,30,Low
NAGALAND,Kuda,HSR Layout,2019,June,18,Medium,Tata Ace,Jeep (Government),17,21,20,Medium
NAGALAND,Longleng,Hudi,2019,June,15,Medium,Car over speed and hit to car,Jeep (Private),2,23,40,Medium
NAGALAND,Kiphire,J P Nagar,2019,June,14,High,LCV over speed and hit to LCV,Car (Government),1,3,5,High
NAGALAND,Kuda,Jaraganahalli,2019,June,12,Medium,Truck over speed and hit to Bus,Total Truck/Lorry,2,2,4,Medium
NAGALAND,Longleng,Jayanagar East,2019,June,18,High,Multiaxle over speed and hit to the LCV,Total Tempo/Vans,4,3,5,High
NAGALAND,Kohima,Jeevanbhima Nagar,2019,June,17,Medium,Car over speed and hit to car,Total Jeep,5,7,8,Medium
NAGALAND,Medziphema,Jogupalya,2019,June,14,Medium,Car over speed and hit to car,Truck/Lorry (Government),8,23,25,Medium
ODISHA,Bhubaneswar,K R Puram,2019,July,9,High,Auto over speed self accident,Truck/Lorry (Private),11,12,30,High
ODISHA,Cuttack,Kacharkanahalli,2019,July,8,Low,Car over speed self accident. Defects in mechanical condition,Bus (Government),9,20,31,Low
ODISHA,Rourkela,Kadugodi,2019,July,10,Medium,Truck,Bus (Private),13,1,10,Medium
ODISHA,Berhampur,Kammanahalli,2019,July,20,Low,Unknown vehicle hit and run while road crossing,Tempo/Vans (Government),20,4,21,Low
ODISHA,Sambalpur,Konena Agrahara,2019,July,2,Low,Fault of road crossing pedestrian,Tempo/Vans (Private),21,23,40,Low
ODISHA,Puri,Madivala,2019,July,1,Medium,Drunk & Drive,Jeep (Government),19,2,7,Medium
ODISHA,Balasore,Marathahalli,2019,July,5,Low,Car over speed self accident,Jeep (Private),22,24,23,Low
ODISHA,Bhadrak,New Tippasandara,2019,July,6,Low,Car over speed and hit to Car due to defect in mechanical conditions.,Car (Government),3,21,20,Low
ODISHA,Baripada,Other,2019,July,4,Medium,Car over speed and Hit to car,Pedestrian,1,2,3,Medium
ODISHA,Bhubaneswar,other,2019,July,7,Medium,The tractor vehicle some mechanical problem self accident,Total Truck/Lorry,10,22,23,Medium
ODISHA,Cuttack,Ramamurthy Nagar,2019,July,23,High,Self accident Drunk & Drive,Total Bus,20,12,14,High
ODISHA,Rourkela,Sampangiram Nagar,2019,July,21,Low,Car over speed self accident. Defects in mechanical condition,Total Tempo/Vans,21,34,40,Low
ODISHA,Berhampur,Sarakki,2019,July,12,Medium,Bus over speed and Hit to Tow wheeler,Total Jeep,23,21,22,Medium
ODISHA,Sambalpur,Shantala Nagar,2019,July,31,Medium,Car over speed and hit to the Water tanker,Truck/Lorry (Government),21,34,50,Medium
ODISHA,Puri,Singasandra,2019,August,13,High,Multi Axle hit to Two wheeler.,Truck/Lorry (Private),12,21,30,High
ODISHA,Balasore,Sudham Nagara,2019,August,30,Low,Self Accident Drunk & Drive,Bus (Government),15,22,30,Low
ODISHA,Bhadrak,Varthuru,2019,August,23,High,Car over speed and hit to Truck due to Defects in Mechanical condition,Bus (Private),13,21,20,High
ODISHA,Baripada,Vasanthpura,2019,August,22,Low,Car over speed self accident,Tempo/Vans (Government),10,23,40,Low
ODISHA,Puri,Vijnana Nagar,2019,August,20,Medium,Auto tyre blast vehicle out of control and upside to carriageway,Tempo/Vans (Private),20,3,5,Medium
ODISHA,Balasore,Vijnanapura,2019,August,11,High,Truck over speed and hit to Car,Jeep (Government),5,2,4,High
ODISHA,Bhadrak,Yelchenahalli,2019,August,19,Low,Car over speed self accident Drunk & Drive,Jeep (Private),6,3,5,Low
ODISHA,Baripada,A Narayanapura,2019,August,18,High,Auto over speed and vehicle skidding in shoulder side driver fault,Three Wheeler,7,7,8,High
PUDUCHERRY,Thirumalairayanpattinam,Agaram,2019,August,15,High,Car,Bicycle,9,23,25,High
PUDUCHERRY,Puducherry,Banasavadi,2019,August,14,Low,LCV over speed self accident,Pedestrian,1,12,30,Low
PUDUCHERRY,Yanam,Basavanapura,2019,September,12,High,Bike Drunk & Drive,Others (Please Specify),12,20,31,High
PUDUCHERRY,Villianur,Bellanduru,2019,September,18,High,Two wheeler over speed self accident,Total Truck/Lorry,5,1,10,High
PUDUCHERRY,Puducherry,Benniganahalli,2019,September,17,Low,Two wheeler over speed and hit to Tractor,Total Bus,6,4,21,Low
PUDUCHERRY,Ozhukarai,Bharathi Nagar,2019,September,14,High,car over speed and hit to two wheeler,Total Tempo/Vans,3,23,40,High
PUDUCHERRY,Manavely,BTM Layout,2019,September,9,Medium,Car over speed hit to Truck,Total Jeep,5,2,7,Medium
PUDUCHERRY,Mahé,C V Raman Nagar,2019,September,8,Low,Bike Rider,Truck/Lorry (Private),10,24,23,Low
PUDUCHERRY,Kurumbapet,Chickpete,2019,September,10,Low,Car over speed and hit to car,Bus (Government),12,21,20,Low
PUDUCHERRY,Thirumalairayanpattinam,Devasandra,2019,September,20,High,Bus driver driving wrong route and hit to Bus,Bus (Private),15,2,3,High
PUDUCHERRY,Puducherry,Dharmaraya Swamy Temple,2019,September,2,Medium,Drunk & Drive,Tempo/Vans (Government),20,22,23,Medium
PUDUCHERRY,Yanam,Dodda Nekkundi,2019,September,1,Medium,The vehicle over speed and skidding,Tempo/Vans (Private),2,12,14,Medium
PUDUCHERRY,Villianur,Domlur,2019,September,5,Low,Two wheeler over speed and vehicle out of control and hit to Truck,Jeep (Government),19,34,40,Low
PUDUCHERRY,Puducherry,Garudachar Playa,2019,September,6,Medium,Two wheeler over speed and hit to Car,Jeep (Private),17,21,22,Medium
PUDUCHERRY,Ozhukarai,Gurappanapalya,2019,September,4,Low,Vehicle over speed out of control,Car (Government),16,34,50,Low
PUDUCHERRY,Manavely,Hagadur,2019,September,7,Medium,Car over speed self accident. Defects in mechanical condition,Car (Private),2,21,30,Medium
PUDUCHERRY,Mahé,HAL Airport,2019,September,23,High,Unknown vehicle hit to Road crossing pedestrian,Others (Please Specify),13,22,30,High
PUDUCHERRY,Kurumbapet,Halsoor,2019,October,21,Low,Multi axle over speed and hit to Truck,Total Bus,17,21,20,Low
PUDUCHERRY,Ozhukarai,Hemmigepura,2019,October,12,Low,Two wheeler over speed and hit to Auto,Total Tempo/Vans,2,23,40,Low
PUDUCHERRY,Manavely,Horamavu,2019,October,31,Low,Two wheeler over speed Drunk & Drive,Total Jeep,1,3,5,Low
PUDUCHERRY,Mahé,Hoysala Nagar,2019,October,13,Low,Car over speed and Hit to Two wheeler,Total Car,2,2,4,Low
PUNJAB,Amritsar,HSR Layout,2019,October,30,Medium,Unknown vehicle hit to Road crossing pedestrian,Truck/Lorry (Government),4,3,5,Medium
PUNJAB,Ludhiana,Hudi,2019,October,23,Medium,Multi Axle over speed and hit to Multi axle,Bus (Government),5,7,8,Medium
PUNJAB,Jalandhar,J P Nagar,2019,October,22,High,Car over speed and hit to Agriculture vehicle.,Bicycle,8,23,25,High
PUNJAB,Patiala,Jaraganahalli,2019,October,20,Medium,Car over speed self accident,Truck/Lorry (Government),11,12,30,Medium
PUNJAB,Bathinda,Jayanagar East,2019,October,11,High,Bike over speed and vehicle skidding,Truck/Lorry (Private),9,20,31,High
PUNJAB,Hoshiarpur,Jeevanbhima Nagar,2019,October,19,Medium,Car self accident Drink & Drive and Negligence Driving,Bus (Government),13,1,10,Medium
PUNJAB,Mohali,Jogupalya,2019,October,18,Medium,Bike over speed Hit to TATA 407,Tempo/Vans (Government),20,4,21,Medium
PUNJAB,Malerkotla,K R Puram,2019,October,15,High,Car over speed and hit to road crossing Pedestrian,Tempo/Vans (Private),21,23,40,High
PUNJAB,Amritsar,Kacharkanahalli,2019,October,14,Low,Car over speed fault of driver other vehicle,Jeep (Government),19,2,7,Low
PUNJAB,Ludhiana,Kadugodi,2019,October,12,Medium,Car over speed and hit to Truck,Jeep (Private),22,24,23,Medium
PUNJAB,Jalandhar,Kammanahalli,2019,October,18,Low,Truck over speed self accident,Car (Government),3,21,20,Low
PUNJAB,Patiala,Konena Agrahara,2019,October,17,Low,Truck over speed and hit to Car,Three Wheeler,1,2,3,Low
PUNJAB,Bathinda,Madivala,2019,October,14,Medium,Two wheeler over speed hit to two wheeler,Total Truck/Lorry,10,22,23,Medium
PUNJAB,Hoshiarpur,Marathahalli,2019,October,9,Low,Two wheeler over speed Self accident,Total Tempo/Vans,20,12,14,Low
PUNJAB,Mohali,New Tippasandara,2019,October,8,Low,LCV over speed Tyre blast self accident,Total Jeep,21,34,40,Low
PUNJAB,Malerkotla,Other,2019,October,10,Medium,Truck over speed and Hit to the LCV,Jeep (Government),23,21,22,Medium
PUNJAB,Amritsar,other,2019,October,20,Medium,LCV over speed and hit to Two wheeler,Jeep (Government),21,34,50,Medium
PUNJAB,Ludhiana,Ramamurthy Nagar,2019,October,2,High,Car over speed hit to Two wheeler,Car (Government),12,21,30,High
PUNJAB,Jalandhar,Sampangiram Nagar,2019,October,1,Low,Car over speed and hit to LCV,Tempo/Vans (Government),15,22,30,Low
PUNJAB,Patiala,Sarakki,2019,October,5,Medium,Car over speed and hit to Pedestrian cross on the road,Car (Government),13,21,20,Medium
PUNJAB,Bathinda,Shantala Nagar,2019,October,6,Medium,Fault of Motor vehicle over speed and Hit to BMTC Bus,Jeep (Government),10,23,40,Medium
RAJASTHAN,Jaipur,Singasandra,2019,October,4,High,BBMP Garbage vehicle overload and vehicle upset in the carriageway,Jeep (Government),20,3,5,High
RAJASTHAN,Jaisalmer,Sudham Nagara,2019,November,7,Low,LCV over speed and hit to Two wheeler,Jeep (Government),5,2,4,Low
RAJASTHAN,Udaipur,Varthuru,2019,November,23,High,Bus hit to road crossing pedestrian. Fault of Pedestrian,Truck/Lorry (Government),6,3,5,High
RAJASTHAN,Jodhpur,Vasanthpura,2019,November,21,Low,Car over speed and Hit to Road crossing Lorry,Jeep (Government),7,7,8,Low
RAJASTHAN,Bikaner,Vijnana Nagar,2019,November,12,Medium,car over speed vehicle out of control,Car (Government),9,23,25,Medium
RAJASTHAN,Jaipur,Vijnanapura,2020,November,31,High,Truck,Truck/Lorry (Government),1,12,30,High
RAJASTHAN,Jaisalmer,Yelchenahalli,2020,November,13,Low,Car over speed,Tempo/Vans (Government),12,20,31,Low
RAJASTHAN,Udaipur,A Narayanapura,2020,November,30,High,Car tyre blast vehicle out of control and hit to Two wheeler,Jeep (Government),5,1,10,High
RAJASTHAN,Jodhpur,Agaram,2020,November,23,High,Unknown vehicle hit to Road crossing pedestrian,Car (Government),6,4,21,High
RAJASTHAN,Bikaner,Banasavadi,2020,November,22,Low,Two wheeler over speed Self accident,Truck/Lorry (Government),3,23,40,Low
RAJASTHAN,Jaipur,Basavanapura,2020,November,20,High,Two wheeler over speed self accident,Tempo/Vans (Government),5,2,7,High
RAJASTHAN,Jaisalmer,Bellanduru,2020,November,11,High,Bike over speed Drunken and Drive Hit to Tractor,Jeep (Government),10,24,23,High
RAJASTHAN,Udaipur,Benniganahalli,2020,November,19,Low,Two wheeler over speed and hit to Two wheeler,Car (Government),12,21,20,Low
RAJASTHAN,Jodhpur,Bharathi Nagar,2020,November,18,High,Car,Truck/Lorry (Government),15,2,3,High
RAJASTHAN,Bikaner,BTM Layout,2020,November,15,Medium,LCV over speed and hit to LCV. Defects in mechanical condition,Bus (Government),20,22,23,Medium
RAJASTHAN,Jaipur,C V Raman Nagar,2020,November,14,Low,Two wheeler over speed and over take the bus. Bus hit to Two wheeler,Jeep (Government),2,12,14,Low
RAJASTHAN,Jaisalmer,Chickpete,2020,November,12,Low,LCV over speed and hit to Truck,Car (Government),19,34,40,Low
RAJASTHAN,Udaipur,Devasandra,2020,November,18,High,Car,Truck/Lorry (Government),17,21,22,High
RAJASTHAN,Jodhpur,Dharmaraya Swamy Temple,2020,November,17,Medium,Two wheeler over speed and hit to car,Bus (Government),16,34,50,Medium
RAJASTHAN,Bikaner,Dodda Nekkundi,2020,November,14,Medium,Vehicle over speed and Out of Control,Tempo/Vans (Government),2,21,30,Medium
RAJASTHAN,Udaipur,Domlur,2020,December,9,Low,Two wheeler over speed Self accident,Jeep (Government),13,22,30,Low
